model,image_id,fae_method,metric,score
resnet18,ISIC_0012095,gradcam,faithfulness_correlation,0.0855240747332573
resnet18,ISIC_0012095,gradcam,max_sensitivity,1.505396842956543
resnet18,ISIC_0012095,gradcam,relevance_mass_accuracy,0.033820778131484985
squeezenet,ISIC_0012095,integrated_gradients,faithfulness_correlation,0.04938065633177757
squeezenet,ISIC_0012095,integrated_gradients,max_sensitivity,1.4444060325622559
squeezenet,ISIC_0012095,integrated_gradients,relevance_mass_accuracy,0.718076765537262
squeezenet,ISIC_0012095,saliency,faithfulness_correlation,0.1219707801938057
squeezenet,ISIC_0012095,saliency,max_sensitivity,1.0265278816223145
squeezenet,ISIC_0012095,saliency,relevance_mass_accuracy,0.11342426389455795
squeezenet,ISIC_0012095,gradcam,faithfulness_correlation,0.4104163944721222
squeezenet,ISIC_0012095,gradcam,max_sensitivity,0.5233301520347595
squeezenet,ISIC_0012095,gradcam,relevance_mass_accuracy,0.3029678165912628
resnet18,ISIC_0012086,integrated_gradients,faithfulness_correlation,0.15237855911254883
resnet18,ISIC_0012086,integrated_gradients,max_sensitivity,1.3650758266448975
resnet18,ISIC_0012086,integrated_gradients,relevance_mass_accuracy,1.8600963354110718
resnet18,ISIC_0012086,saliency,faithfulness_correlation,-0.1990639865398407
resnet18,ISIC_0012086,saliency,max_sensitivity,0.9206312298774719
resnet18,ISIC_0012086,saliency,relevance_mass_accuracy,0.5100592970848083
resnet18,ISIC_0012086,gradcam,faithfulness_correlation,0.18131744861602783
resnet18,ISIC_0012086,gradcam,max_sensitivity,1.5473368167877197
resnet18,ISIC_0012086,gradcam,relevance_mass_accuracy,0.6030254364013672
squeezenet,ISIC_0012086,integrated_gradients,faithfulness_correlation,0.11875180900096893
squeezenet,ISIC_0012086,integrated_gradients,max_sensitivity,1.4632186889648438
squeezenet,ISIC_0012086,integrated_gradients,relevance_mass_accuracy,0.2642116844654083
squeezenet,ISIC_0012086,saliency,faithfulness_correlation,-0.01734764128923416
squeezenet,ISIC_0012086,saliency,max_sensitivity,0.9606501460075378
squeezenet,ISIC_0012086,saliency,relevance_mass_accuracy,0.539553701877594
squeezenet,ISIC_0012086,gradcam,faithfulness_correlation,0.20196764171123505
squeezenet,ISIC_0012086,gradcam,max_sensitivity,0.869576632976532
squeezenet,ISIC_0012086,gradcam,relevance_mass_accuracy,0.3453054130077362
resnet18,ISIC_0012134,integrated_gradients,faithfulness_correlation,0.11195464432239532
resnet18,ISIC_0012134,integrated_gradients,max_sensitivity,1.3027173280715942
resnet18,ISIC_0012134,integrated_gradients,relevance_mass_accuracy,-0.8305425047874451
resnet18,ISIC_0012134,saliency,faithfulness_correlation,0.029375150799751282
resnet18,ISIC_0012134,saliency,max_sensitivity,0.8713109493255615
resnet18,ISIC_0012134,saliency,relevance_mass_accuracy,0.8174517750740051
resnet18,ISIC_0012134,gradcam,faithfulness_correlation,0.02633126825094223
resnet18,ISIC_0012134,gradcam,max_sensitivity,1.397131323814392
resnet18,ISIC_0012134,gradcam,relevance_mass_accuracy,0.6879758238792419
squeezenet,ISIC_0012134,integrated_gradients,faithfulness_correlation,-0.08377180248498917
squeezenet,ISIC_0012134,integrated_gradients,max_sensitivity,1.3503170013427734
squeezenet,ISIC_0012134,integrated_gradients,relevance_mass_accuracy,0.2643744647502899
squeezenet,ISIC_0012134,saliency,faithfulness_correlation,0.030305083841085434
squeezenet,ISIC_0012134,saliency,max_sensitivity,1.0542309284210205
squeezenet,ISIC_0012134,saliency,relevance_mass_accuracy,0.83132004737854
squeezenet,ISIC_0012134,gradcam,faithfulness_correlation,0.042839936912059784
squeezenet,ISIC_0012134,gradcam,max_sensitivity,0.8423194289207458
squeezenet,ISIC_0012134,gradcam,relevance_mass_accuracy,0.6840451955795288
