model,image_id,fae_method,metric,score
resnet18,ISIC_0012369,lrp,faithfulness_correlation,-0.10078224539756775
resnet18,ISIC_0012369,lrp,max_sensitivity,3.9432015419006348
resnet18,ISIC_0012369,lrp,relevance_mass_accuracy,-0.023147709667682648
resnet18,ISIC_0012369,occlusion,faithfulness_correlation,0.2907784581184387
resnet18,ISIC_0012369,occlusion,max_sensitivity,1.394316554069519
resnet18,ISIC_0012369,occlusion,relevance_mass_accuracy,0.20555293560028076
squeezenet,ISIC_0012369,integrated_gradients,faithfulness_correlation,-0.017864231020212173
squeezenet,ISIC_0012369,integrated_gradients,max_sensitivity,1.4317086935043335
squeezenet,ISIC_0012369,integrated_gradients,relevance_mass_accuracy,-0.672306478023529
squeezenet,ISIC_0012369,saliency,faithfulness_correlation,0.27145689725875854
squeezenet,ISIC_0012369,saliency,max_sensitivity,0.9187416434288025
squeezenet,ISIC_0012369,saliency,relevance_mass_accuracy,0.22291062772274017
squeezenet,ISIC_0012369,gradcam,faithfulness_correlation,0.37660348415374756
squeezenet,ISIC_0012369,gradcam,max_sensitivity,0.9732531905174255
squeezenet,ISIC_0012369,gradcam,relevance_mass_accuracy,0.17620979249477386
squeezenet,ISIC_0012369,deep_lift,faithfulness_correlation,-0.08008874207735062
squeezenet,ISIC_0012369,deep_lift,max_sensitivity,1.3147386312484741
squeezenet,ISIC_0012369,deep_lift,relevance_mass_accuracy,0.3826305568218231
squeezenet,ISIC_0012369,guided_backprop,faithfulness_correlation,0.08404221385717392
squeezenet,ISIC_0012369,guided_backprop,max_sensitivity,1.2920029163360596
squeezenet,ISIC_0012369,guided_backprop,relevance_mass_accuracy,0.03567739948630333
squeezenet,ISIC_0012369,lrp,faithfulness_correlation,0.025343339890241623
squeezenet,ISIC_0012369,lrp,max_sensitivity,1.271357536315918
squeezenet,ISIC_0012369,lrp,relevance_mass_accuracy,0.028073202818632126
squeezenet,ISIC_0012369,occlusion,faithfulness_correlation,0.31567057967185974
squeezenet,ISIC_0012369,occlusion,max_sensitivity,0.9233221411705017
squeezenet,ISIC_0012369,occlusion,relevance_mass_accuracy,0.01825813762843609
resnet18,ISIC_0012395,integrated_gradients,faithfulness_correlation,-0.17390680313110352
resnet18,ISIC_0012395,integrated_gradients,max_sensitivity,1.1303761005401611
resnet18,ISIC_0012395,integrated_gradients,relevance_mass_accuracy,-2.1948068141937256
resnet18,ISIC_0012395,saliency,faithfulness_correlation,0.04686708375811577
resnet18,ISIC_0012395,saliency,max_sensitivity,0.8764899969100952
resnet18,ISIC_0012395,saliency,relevance_mass_accuracy,0.1781732589006424
