model,image_id,fae_method,metric,score,error
squeezenet,ISIC_0012258,gradcam,faithfulness_correlation,0.26766231656074524,
squeezenet,ISIC_0012258,gradcam,pixel_flipping,234.8228759765625,
squeezenet,ISIC_0012258,gradcam,max_sensitivity,0.39448466897010803,
squeezenet,ISIC_0012258,gradcam,avg_sensitivity,0.37141755521297454,
squeezenet,ISIC_0012258,gradcam,relevance_mass_accuracy,0.09101922065019608,
squeezenet,ISIC_0012258,gradcam,pointing_game,0.0,
squeezenet,ISIC_0012258,gradcam,sparseness,0.6354498722064627,
squeezenet,ISIC_0012258,gradcam,complexity,11.192273139953613,
squeezenet,ISIC_0012258,gradcam,model_parameter_randomisation,,nan
squeezenet,ISIC_0012258,gradcam,random_logit,0.5882301739665946,
squeezenet,ISIC_0012258,gradcam,completeness,,nan
squeezenet,ISIC_0012258,gradcam,non_sensitivity,,nan
squeezenet,ISIC_0012258,deep_lift,faithfulness_correlation,-0.1193397045135498,
squeezenet,ISIC_0012258,deep_lift,pixel_flipping,88.82716369628906,
squeezenet,ISIC_0012258,deep_lift,max_sensitivity,1.383487343788147,
squeezenet,ISIC_0012258,deep_lift,avg_sensitivity,1.2822747468948363,
squeezenet,ISIC_0012258,deep_lift,relevance_mass_accuracy,0.06251852214336395,
squeezenet,ISIC_0012258,deep_lift,pointing_game,0.0,
squeezenet,ISIC_0012258,deep_lift,sparseness,0.6565153975937986,
squeezenet,ISIC_0012258,deep_lift,complexity,11.070293426513672,
squeezenet,ISIC_0012258,deep_lift,model_parameter_randomisation,,nan
squeezenet,ISIC_0012258,deep_lift,random_logit,0.7046209440363256,
squeezenet,ISIC_0012258,deep_lift,completeness,0.0,
squeezenet,ISIC_0012258,deep_lift,non_sensitivity,,nan
squeezenet,ISIC_0012258,guided_backprop,faithfulness_correlation,0.05312638357281685,
squeezenet,ISIC_0012258,guided_backprop,pixel_flipping,102.31684875488281,
squeezenet,ISIC_0012258,guided_backprop,max_sensitivity,1.0946390628814697,
squeezenet,ISIC_0012258,guided_backprop,avg_sensitivity,1.0276068985462188,
squeezenet,ISIC_0012258,guided_backprop,relevance_mass_accuracy,0.11636460572481155,
squeezenet,ISIC_0012258,guided_backprop,pointing_game,1.0,
squeezenet,ISIC_0012258,guided_backprop,sparseness,0.7033134467441303,
squeezenet,ISIC_0012258,guided_backprop,complexity,10.93167781829834,
squeezenet,ISIC_0012258,guided_backprop,model_parameter_randomisation,,nan
squeezenet,ISIC_0012258,guided_backprop,random_logit,0.872931271104954,
squeezenet,ISIC_0012258,guided_backprop,completeness,,nan
squeezenet,ISIC_0012258,guided_backprop,non_sensitivity,,nan
squeezenet,ISIC_0012258,lrp,faithfulness_correlation,0.1651735007762909,
