model,scheme,method,mean_rank,rank_position,critical_difference,friedman_statistic,friedman_p_value,n_blocks,n_methods
squeezenet,mqdiscount,lrp,4.833333333333333,4,2.6007735387764925,58.14285714285711,1.0720057367060313e-10,12,7
squeezenet,mqdiscount,deep_lift,5.416666666666667,5,2.6007735387764925,58.14285714285711,1.0720057367060313e-10,12,7
squeezenet,mqdiscount,guided_backprop,5.75,6,2.6007735387764925,58.14285714285711,1.0720057367060313e-10,12,7
squeezenet,mqdiscount,integrated_gradients,6.0,7,2.6007735387764925,58.14285714285711,1.0720057367060313e-10,12,7
squeezenet,single_fc,occlusion,2.1666666666666665,1,2.6007735387764925,35.64285714285711,3.23408421564033e-06,12,7
squeezenet,single_fc,gradcam,2.4166666666666665,2,2.6007735387764925,35.64285714285711,3.23408421564033e-06,12,7
squeezenet,single_fc,saliency,2.5833333333333335,3,2.6007735387764925,35.64285714285711,3.23408421564033e-06,12,7
squeezenet,single_fc,guided_backprop,5.0,4,2.6007735387764925,35.64285714285711,3.23408421564033e-06,12,7
squeezenet,single_fc,lrp,5.083333333333333,5,2.6007735387764925,35.64285714285711,3.23408421564033e-06,12,7
squeezenet,single_fc,integrated_gradients,5.25,6,2.6007735387764925,35.64285714285711,3.23408421564033e-06,12,7
squeezenet,single_fc,deep_lift,5.5,7,2.6007735387764925,35.64285714285711,3.23408421564033e-06,12,7
