model,image_id,eff_ensemble,eff_individual_mean,eff_individual_best,eff_best_fixed,eff_best_fixed_gradient,best_fixed_method,best_fixed_gradient_method
resnet18,ISIC_0014822,0.15853746637492921,0.009846564885582052,0.11495591178057585,0.07081617166099152,0.0962076221963454,occlusion,gradcam
resnet18,ISIC_0014826,-0.22458138931840552,-0.07602217154498327,0.2533237074154728,0.2533237074154728,0.12057793741298352,occlusion,gradcam
resnet18,ISIC_0014833,0.27746447244668243,0.1929940352643436,0.4371015222977834,0.4371015222977834,0.15075643006067393,occlusion,gradcam
resnet18,ISIC_0014835,-0.06800581127247775,-0.010574426242790798,0.32794248809610765,0.2905209332402213,0.11179846633007968,occlusion,gradcam
resnet18,ISIC_0014844,0.024209932740701805,0.043674654205530565,0.2823097596320734,0.10661354437148744,0.2823097596320734,occlusion,gradcam
resnet18,ISIC_0014853,-0.01756197611204705,-0.15169215815005202,0.08496939329561884,-0.09757682570865378,0.018202804709383052,occlusion,gradcam
resnet18,ISIC_0014854,0.093799751648412,-0.04787422391116405,0.2160101700051432,0.2160101700051432,0.0022788269272188766,occlusion,gradcam
resnet18,ISIC_0014862,0.18534867332851657,-0.012545211846517615,0.23820411478195486,0.23820411478195486,0.2014588081010412,occlusion,gradcam
resnet18,ISIC_0014863,0.028310070739259587,0.04974680873417923,0.2501987551681606,0.03676938172041157,0.2501987551681606,occlusion,gradcam
resnet18,ISIC_0014867,0.12755603391559128,-0.012903830181545851,0.19470631549703668,0.00428022663924134,0.0040712849791342265,occlusion,gradcam
resnet18,ISIC_0014868,-0.09336287331838412,-0.0793431678798806,0.1692074431644906,0.12804257413563738,0.1692074431644906,occlusion,gradcam
resnet18,ISIC_0014872,0.4594800246505536,0.22239965865610692,0.4732278687043022,0.4732278687043022,0.29271746316781044,occlusion,gradcam
resnet18,ISIC_0014876,0.18140136219081512,0.02504475111011485,0.40785890679241377,0.40785890679241377,-0.08954212088442833,occlusion,gradcam
resnet18,ISIC_0014879,-0.19260586145180852,-0.025933949529927523,0.212088054958448,-0.1875430574204565,0.08568309199909534,occlusion,gradcam
resnet18,ISIC_0014883,-0.37345443155072605,-0.20799038506354223,0.12844875421324312,0.12844875421324312,-0.053391323961630925,occlusion,gradcam
resnet18,ISIC_0014901,-0.26002569759098276,-0.019126925413461553,0.32602075404559117,0.18245377994194345,0.32602075404559117,occlusion,gradcam
resnet18,ISIC_0014907,-0.38988503103063815,-0.1081689973257673,0.05122437032307706,-0.0728254636338552,-0.12276250414496921,occlusion,gradcam
resnet18,ISIC_0014910,0.14712954562645056,0.07523180564334486,0.5584412390024808,0.5584412390024808,0.24017975800281732,occlusion,gradcam
resnet18,ISIC_0014912,0.021726473191959528,0.12720423671057568,0.36383336445669456,0.36383336445669456,0.33937106734550515,occlusion,gradcam
resnet18,ISIC_0014921,-0.01395433168268223,-0.06903467603369114,0.17587856875613042,0.07662775769141396,0.17587856875613042,occlusion,gradcam
resnet18,ISIC_0014927,0.1666560263619393,-0.04751728190194943,0.48245394074093856,0.48245394074093856,-0.15365860681809554,occlusion,gradcam
resnet18,ISIC_0014928,-0.2021773669794283,0.09871287738372479,0.6164721939285488,0.6164721939285488,0.43729651811894715,occlusion,gradcam
resnet18,ISIC_0014932,0.24944809780972202,0.03028263925447457,0.3388998570815688,0.3388998570815688,0.15946226125484778,occlusion,gradcam
resnet18,ISIC_0014936,0.1273751940532678,0.0064754888707876145,0.2052471765024953,0.2052471765024953,0.14530180613730975,occlusion,gradcam
resnet18,ISIC_0014938,-0.030627646149325467,-0.005983778451848165,0.2527659891408138,0.13228492882585516,0.2527659891408138,occlusion,gradcam
