model,image_id,fae_method,metric,score
squeezenet,ISIC_0012356,integrated_gradients,relevance_mass_accuracy,-0.05760587751865387
squeezenet,ISIC_0012356,integrated_gradients,pointing_game,0.0
squeezenet,ISIC_0012356,integrated_gradients,sparseness,0.6930931382666392
squeezenet,ISIC_0012356,integrated_gradients,complexity,10.98866081237793
squeezenet,ISIC_0012356,integrated_gradients,model_parameter_randomisation,0.5638850760366287
squeezenet,ISIC_0012356,integrated_gradients,random_logit,0.6413097646409602
squeezenet,ISIC_0012356,integrated_gradients,completeness,0.0
squeezenet,ISIC_0012356,integrated_gradients,non_sensitivity,
squeezenet,ISIC_0012356,saliency,faithfulness_correlation,0.3388996720314026
squeezenet,ISIC_0012356,saliency,pixel_flipping,66.38915252685547
squeezenet,ISIC_0012356,saliency,max_sensitivity,1.0721269845962524
squeezenet,ISIC_0012356,saliency,avg_sensitivity,0.9662513971328736
squeezenet,ISIC_0012356,saliency,relevance_mass_accuracy,0.507698655128479
squeezenet,ISIC_0012356,saliency,pointing_game,0.0
squeezenet,ISIC_0012356,saliency,sparseness,0.5829163996191378
squeezenet,ISIC_0012356,saliency,complexity,11.307076454162598
squeezenet,ISIC_0012356,saliency,model_parameter_randomisation,0.3285144600299384
squeezenet,ISIC_0012356,saliency,random_logit,0.4828032977968279
squeezenet,ISIC_0012356,saliency,completeness,
squeezenet,ISIC_0012356,saliency,non_sensitivity,
squeezenet,ISIC_0012356,gradcam,faithfulness_correlation,-0.03335632011294365
squeezenet,ISIC_0012356,gradcam,pixel_flipping,229.9583740234375
squeezenet,ISIC_0012356,gradcam,max_sensitivity,0.5448360443115234
squeezenet,ISIC_0012356,gradcam,avg_sensitivity,0.48171270787715914
squeezenet,ISIC_0012356,gradcam,relevance_mass_accuracy,0.3694923222064972
squeezenet,ISIC_0012356,gradcam,pointing_game,0.0
squeezenet,ISIC_0012356,gradcam,sparseness,0.7087370922162085
squeezenet,ISIC_0012356,gradcam,complexity,10.85631275177002
squeezenet,ISIC_0012356,gradcam,model_parameter_randomisation,
squeezenet,ISIC_0012356,gradcam,random_logit,0.558530674196371
squeezenet,ISIC_0012356,gradcam,completeness,
squeezenet,ISIC_0012356,gradcam,non_sensitivity,
squeezenet,ISIC_0012356,deep_lift,faithfulness_correlation,0.024009453132748604
squeezenet,ISIC_0012356,deep_lift,pixel_flipping,56.82147979736328
squeezenet,ISIC_0012356,deep_lift,max_sensitivity,1.4944926500320435
squeezenet,ISIC_0012356,deep_lift,avg_sensitivity,1.449471402168274
squeezenet,ISIC_0012356,deep_lift,relevance_mass_accuracy,0.08232924342155457
squeezenet,ISIC_0012356,deep_lift,pointing_game,0.0
squeezenet,ISIC_0012356,deep_lift,sparseness,0.7629330944243996
squeezenet,ISIC_0012356,deep_lift,complexity,10.599119186401367
squeezenet,ISIC_0012356,deep_lift,model_parameter_randomisation,0.5179561964650623
squeezenet,ISIC_0012356,deep_lift,random_logit,0.7145142574166393
squeezenet,ISIC_0012356,deep_lift,completeness,0.0
squeezenet,ISIC_0012356,deep_lift,non_sensitivity,
squeezenet,ISIC_0012356,guided_backprop,faithfulness_correlation,0.02787616476416588
squeezenet,ISIC_0012356,guided_backprop,pixel_flipping,76.3366928100586
squeezenet,ISIC_0012356,guided_backprop,max_sensitivity,1.3075201511383057
squeezenet,ISIC_0012356,guided_backprop,avg_sensitivity,1.2707592964172363
squeezenet,ISIC_0012356,guided_backprop,relevance_mass_accuracy,0.12370821088552475
squeezenet,ISIC_0012356,guided_backprop,pointing_game,0.0
squeezenet,ISIC_0012356,guided_backprop,sparseness,0.6699129611541128
squeezenet,ISIC_0012356,guided_backprop,complexity,11.044554710388184
squeezenet,ISIC_0012356,guided_backprop,model_parameter_randomisation,0.6994094708976354
squeezenet,ISIC_0012356,guided_backprop,random_logit,0.7369341342551909
squeezenet,ISIC_0012356,guided_backprop,completeness,
squeezenet,ISIC_0012356,guided_backprop,non_sensitivity,
squeezenet,ISIC_0012356,lrp,faithfulness_correlation,-0.1749631017446518
squeezenet,ISIC_0012356,lrp,pixel_flipping,38.32383346557617
squeezenet,ISIC_0012356,lrp,max_sensitivity,1.498665690422058
squeezenet,ISIC_0012356,lrp,avg_sensitivity,1.392718243598938
squeezenet,ISIC_0012356,lrp,relevance_mass_accuracy,-0.29848259687423706
squeezenet,ISIC_0012356,lrp,pointing_game,0.0
squeezenet,ISIC_0012356,lrp,sparseness,0.6718883386924692
squeezenet,ISIC_0012356,lrp,complexity,11.070240020751953
squeezenet,ISIC_0012356,lrp,model_parameter_randomisation,0.5590162138834331
squeezenet,ISIC_0012356,lrp,random_logit,0.5212048692504332
squeezenet,ISIC_0012356,lrp,completeness,0.0
squeezenet,ISIC_0012356,lrp,non_sensitivity,
squeezenet,ISIC_0012356,occlusion,faithfulness_correlation,-0.02200005203485489
squeezenet,ISIC_0012356,occlusion,pixel_flipping,92.81678009033203
squeezenet,ISIC_0012356,occlusion,max_sensitivity,0.828055202960968
squeezenet,ISIC_0012356,occlusion,avg_sensitivity,0.7625231802463531
squeezenet,ISIC_0012356,occlusion,relevance_mass_accuracy,0.7582703232765198
squeezenet,ISIC_0012356,occlusion,pointing_game,0.0
squeezenet,ISIC_0012356,occlusion,sparseness,0.3832452076052042
squeezenet,ISIC_0012356,occlusion,complexity,11.679668426513672
squeezenet,ISIC_0012356,occlusion,model_parameter_randomisation,0.21345029636717533
squeezenet,ISIC_0012356,occlusion,random_logit,0.29005292073544436
